user_id,orderAt,store_id,order_id
b5b44d29-9753-4059-9761-3a4992f2763f,2025-12-25 05:54:21,d83016d7-479c-447c-84d3-cbb8d6755202,29655af0-79ea-4afb-9380-d30c46556a4f
af965260-577d-4cb7-b106-cbd959e36c9a,2025-11-22 04:33:03,a3b8a383-31b4-418f-8210-9dfdf87892de,c414be67-8715-4caf-8edf-bad007e08f44
0c121a9a-3490-4585-ba3a-812d7c1f6f9a,2025-07-01 13:54:55,e3bc2fb5-43d9-4027-848a-3e9b0dbc5f2c,980a51f5-6691-400e-94a5-603961965183
1d23a908-49d9-4476-aecb-60bd1484607b,2025-11-01 22:40:29,e868ef69-0e92-4dc8-ba50-f312a3a998eb,0aefa9f4-91b0-46e4-b607-0aff1b20ed60
f1dedf5c-490d-4e27-ac2d-d36e54f50849,2025-06-15 11:06:58,f358df49-19b2-47b8-94e9-f188171541f9,84294127-f782-4c07-ae7c-547d0257f9d4
5fefe58c-d22f-45e6-a3f9-d9bc202e0733,2025-10-26 20:39:58,c6e15ea3-9f1a-4c0e-8c27-e20c38e9708d,94f26d28-04b7-4de1-a445-0a15ae678b6b
7225ab8a-525e-4717-9afb-972c26d4d464,2025-02-15 12:54:52,2b32f3e0-28b4-4906-8032-a05c66254529,0b704486-6c41-4faa-9fbf-b3044842d483
096cbd74-f1ec-4e6b-b535-4ab644299f71,2025-11-05 16:09:08,ed686005-137a-4e34-945e-313a01df53e8,06d1d109-4601-4246-9def-80b9fe45d7da
3737b319-cef7-43f0-81ea-7fc481e3a2e3,2025-06-27 16:37:12,edf8e612-cc17-4f7b-a6e1-023af6cf3292,c18b0cdc-c92a-47da-a7e3-084de0c25022
62abc926-697c-43e2-9610-6eb0fb61261d,2025-01-22 23:22:20,22fcc466-a8ac-4a53-bb3e-3aa9bbd679be,0bd31031-9172-44fe-bbd1-45d1ead7d9aa
c39bc54d-3ee1-4cdb-908f-22fa966147c2,2025-04-15 22:02:18,cc290a60-8983-4f4f-a980-948ad259ce2e,bdd1ae62-8a3a-4b78-9bef-2dbaf3e13361
6f1ec3c2-ef6f-458b-ba86-1a08d3cc9159,2025-06-24 14:03:07,f066097a-4f4d-4586-bc48-e3a8f4f0735d,24211bf6-7c30-4bd2-83f7-26ec43086fb6
006f0a47-da43-4072-9b03-ca24d86aaafb,2025-08-02 15:46:18,e6d11148-1d1a-421d-a9f7-7efa23d8b26b,3100f92e-84b6-4323-b9e9-c0285d3efdda
edc30997-48a1-4f9f-a814-71ed49534d5f,2025-04-25 12:51:43,8466bfb5-2b0f-4d51-aa54-301f558b444d,e718f063-3dd4-4d3a-8a99-b74816401737
d8bbdb4a-90ef-4c0e-b8ff-d41c3b1bb9e7,2025-02-05 21:25:04,3689e0b2-3cb6-46d1-943a-1ca495b6ae08,a8ac93da-ba51-4243-9adc-d0dfd6b3e5b3
5d967a4d-1b4d-458a-bc45-8afb6c19d9b4,2025-12-12 04:43:27,c7392856-3af9-4b75-b22f-44604940cd61,a85aa772-1a9f-4d1b-a4d9-c38ef22e3551
59feeab1-8cb0-4b5f-acb2-3330438332d8,2025-03-20 07:51:13,95c15d60-11a9-434d-bcdf-c57e3b6e5ac0,ee287ce7-02e8-4f7b-b3a9-86de1a5cd639
134a4b82-cf0c-4e9c-88e3-69574ed32a39,2025-01-25 10:37:44,e30670df-3235-4075-99c8-a21c32824c72,7b80ab19-83b5-44f7-9cd6-8fd045631bd4
aab2147a-def1-4c7e-8d7a-e1bf6761a814,2025-11-01 03:15:59,294e045b-1228-4209-9b61-e81ff65d48a9,3a01687a-a955-4185-b40e-8923ac4ccca8
4d40b1a8-60f7-49a7-9a7f-042f38b5bb3c,2025-10-08 12:39:31,b2fe442c-e56c-49db-bf8a-686da5a8a0df,db25b62f-f959-48e8-b64c-bdfc405a3d72
efcff573-cfbc-44f7-9e0c-21109670bdad,2025-09-28 21:34:05,02d22bcb-f025-4884-bd01-bd79997cde76,234b50e4-5069-4644-a40a-b27cd1efeb61
f38cc938-a1a5-4d78-a222-b0c90db7cdbe,2025-04-20 03:37:55,b89b60a1-a009-4822-a350-dcf70386bff0,d42e1cfd-35ec-4c19-b8f3-0f947b2b3d68
da604eb4-108e-4f07-af84-2c55a952fc50,2025-12-28 17:48:20,8021e89e-c734-409f-b8ff-546d3decb076,ad389a76-b2e1-4a63-be07-a1fc0940b9ae
