order_item_id,item_id,order_id
11d11b68-339f-477d-bc0d-39ff11e4010b,b6ecb4fe-468e-45d8-9ea1-cc42d09ff584,9de67264-f3bd-4b89-9af7-5beebc56e0ce
efadf8f7-6038-4a8c-9206-85a154534623,faf74438-c0ee-4d7e-9034-dd061f0b6f1d,a3ec955a-0ea5-4a8e-b05a-076e8280f67a
1fded0c2-ba3b-4752-90d7-f0b6bf1998e8,5b5427fb-d3a2-40c2-8ccd-33592325573f,1009c055-1497-49a8-b914-d5bee4cef681
590bb99c-ad0c-42ce-89c4-c452b767edda,ab1946b6-26e7-458f-8629-751cb913a847,fc2bc864-2c53-4d88-a69a-95ec35e42680
8a196e3d-6c9c-4f3c-ab85-955871c551e1,05d10668-862b-4150-b3a4-517472d8ccc2,49aaca1e-49b3-403f-a0a4-e94cc123495f
8866cfc7-6cc9-43d9-8c27-f87cefec6e3e,c7807757-63ce-4350-9dae-92a4070a57d0,fbdd8164-49c3-4684-802a-3c3bb446a5ab
70e23583-4a9a-4984-a02d-537afcd7ac23,ce69333f-1e86-4177-be92-a00b8f074e5c,7ad24d5f-a81b-40b1-b293-0034936aad40
2abaec40-5994-42e7-8b72-5e83aa7a8332,23dcb530-2c8f-4bc6-b623-77f9c6adaade,a9733ea8-a92e-4b73-aeaf-1a13ad1c93c1
84cf9393-fcd5-4744-ba08-0301a24ef2d3,ee89d642-97c7-42af-a320-d6adb44c1e7e,6d9f95e0-0086-40e9-8e48-094d87ca9cb6
b9eabd78-a5e1-4974-bb9f-ce6c74fc5319,6d4e6977-8a4e-4c98-b904-5d7623761106,1f72f280-e486-468a-87e7-c347a4281871
e087e881-f63a-454d-8d6f-25c727389832,98fe7e61-23b9-4dde-9594-398077e43d67,7926cf1a-38f2-4fab-bee5-5a2eb70fae18
d35be245-14f9-4f7b-823d-f0074c8537c6,6338e8a8-4f8c-4b02-9fb2-727cc0ca77e9,c7f29858-00ce-4466-b58e-414acaa29680
3b7e6906-162c-41e2-ab63-c14a8cdac9f1,0800ee21-a93d-4a4b-b364-2334793a72e0,a4ee7edc-a7df-46e8-84e9-cc00be017c3c
09de7adc-98fb-424d-8249-f5918609fec4,5d4a1b78-53b2-45d1-895b-0a1e57fdeeba,9c373ac2-f2ce-4d45-ad1b-3e1749290cad
3220f54f-dcf7-46a2-b259-2fb85eb18f8a,b30dc4a9-2361-4a9c-a33a-963b0f09c603,388fc35d-142c-4bdd-b2aa-0543dc0ea20d
72cf40ea-260c-4f43-8e44-16ace7479d3b,623b66ef-7446-48cf-851e-f4f87d1d5a50,e7a44c66-3052-4079-81d6-adcceeca6da1
4f1060a4-b316-49a7-a577-300b5f8586a0,a3276d86-0c21-4cb0-86c6-e75513463dd5,16b0ae9c-b2ee-4213-846d-af96058f09fe
276d893f-cbf7-44bc-b516-f119ca4f4efd,02565043-e000-43d5-a0e6-d369ca79d7a0,229533f8-4a11-4e51-a36f-7627727cf049
0435c86a-2fee-45e8-aa98-978f9a6eb834,89ad4325-2d79-42a5-97b6-d1b8bb6bae80,e066d653-5363-4187-90b2-ea9f1854cbd6
517978e9-1972-4dba-b3fb-bbd5f8ba11fa,c73bc9f5-b919-482d-8311-0c4dec9c328b,e502bd8e-153d-4d3a-ae9d-a6f5db31a40a
93e42305-3d33-4bc0-afb9-0c82c61915d6,0746f36f-9e65-4371-ae1b-f0ff20860545,25b030a1-aea0-4a67-ae51-f345992726fa
0db695a7-e4b6-4184-b684-58048fe38184,1acb5cec-f2ce-48aa-b2f0-53008f72d689,5a89d911-2882-4486-b454-5726af8ea389
c1b2dd7b-781c-41b4-b390-47b31db370d0,e0d825f4-931d-41ba-aadc-94827af7575f,13e729b9-3a2c-4041-abb7-fbea6c35e570
33f47ba0-7166-4c1d-adbf-42797fa99625,e83417ae-2233-4812-83a4-91a4e5b1dcd4,800e1ff4-a28d-4758-900d-7e24852f1824
ebe4cd09-0b3a-49f0-8e92-b09f5708bab6,8fc335b2-72e7-40a0-aa1d-b1a80dcce276,f93ee9a3-412e-4f99-86a5-f97e74fecbff
ada0a558-8a5c-4d96-8f4e-66471361dfea,8d614eef-29b5-4084-a63f-0f4d1e9baf28,e52219eb-6250-40c3-94c8-8616d6df58d5
96795825-4dce-4876-aa94-6e3a56e67cc7,9bd1ead1-423e-43e4-bd6c-69fc47d43375,a542b333-5d9c-414b-b162-cef6b3ec8651
c41697ae-ddf8-4775-b3fb-c16fc2a97ff5,51c4f34e-e11b-4ab0-beb8-45cef557a619,f12ca331-8bd9-44f8-97af-2040f7f596e4
fde4e988-1b3f-4b24-accc-3f127c4d7908,5ffd9bde-943f-47f6-a4bf-0aba598c8b17,6a3d2d4e-8f39-45a2-bbaa-e8b95ddb6b8e
4cc59814-0b56-4433-8a98-9ae9191cef22,0bdb9a59-e9b9-4bc2-bca9-7e9fc84586a4,045a5fd0-492c-4c3d-a855-a8b85f780845
def8d087-f954-4393-b390-a3e044db951c,b4168a42-2a41-4737-8c04-46fa7f950532,9a4e5324-c985-47c6-b876-d69cfae7ba91
616896c0-154a-49c1-a738-78633d0d4579,132ee15f-b902-44e9-bd44-2b046665dedc,f8ed89e1-ae7b-4240-8304-92a612a86efe
b325e00e-2b17-4c15-b1f2-7635660a4d44,ec24dd23-a3bb-477a-be76-70a720002c28,e6ed0e44-f8ca-418a-87d1-11a159e45f58
d77e37b6-c803-4f86-9d90-712e5d749189,f1411796-9eb8-433f-a2a7-c97561ed2691,eaed5bb8-6b46-48c0-8b85-2071274efa02
4240ed15-22ad-4bd8-9f19-ddf42d2c5850,2fc0b787-385b-4ff6-b6d9-da644b19bf9a,863a7131-6bbb-44a1-a1a0-17a92b48755b
1559d082-262d-49b8-a945-2b83c902a909,4e669aa4-3a9a-456c-a391-a94d60a0c5ca,7fb06256-6b1f-4179-a991-43135372b145
8301c7b6-243b-4b60-8dbe-7ec5b27ce958,48e593cb-dbe2-4cea-a2c0-a0755f0957a2,ff06ea73-627b-4d12-9d79-cb9cf0bb8048
34d7db3a-37e6-495b-a710-da4988fec9dc,a08b3dae-ad5a-4733-a9d7-d4e2764db34a,7effe9af-5ea6-4bfa-8de4-35ef606af430
7ce9c32f-dd2b-4e41-bddc-1eb3c193872c,840feb23-63e5-4416-a59a-d2440ae9a368,7e94c3fd-f197-4b68-bed6-e77f311543ae
